cell_types_merad	source	Level 1	Level 2	Level 3	Level_TCGA
Myeloid DC moDC HLAhi	both	DC moDC	DC moDC	Myeloid	NA
Myeloid megakaryocyte	both	Megakaryocyte	Megakaryocyte	Myeloid	NA
Myeloid monocyte CD14	both	Mono conv	Monocyte	Myeloid	NA
Myeloid monocyte CD16	both	Mono conv	Monocyte	Myeloid	NA
ILC ILC NK	both	ILC	ILC	ILC	NA
ILC ILC1	both	ILC	ILC	ILC	NA
ILC ILC2	both	ILC	ILC	ILC	NA
ILC ILC3	both	ILC	ILC	ILC	NA
Myeloid monocyte CD14 FOLR3lo	both	Mono conv	Monocyte	Myeloid	NA
Myeloid monocyte CD14CD16	both	Mono conv	Monocyte	Myeloid	NA
